canonical_perturbation,target_a,target_b,original_condition_labels,total_n,minimum_lane_n,observed_rms,additive_rmse,delta_pearson,cosine,residual_over_response_rms,mean_same_sign_lane_fraction,fraction_genes_majority_lane_sign,se_undefined_lane_n_lt_2,lolo_max_rms_change
ETS2+IGDCC3,ETS2,IGDCC3,ETS2+IGDCC3,365,36,0.04882188885702463,0.032072274531495276,0.8607412473094223,0.8610818815838723,0.6569240822578422,0.5967046580773042,0.6646184340931616,False,0.006047958157281918
C19orf26+TGFBR2,C19orf26,TGFBR2,TGFBR2+C19orf26,274,26,0.05872425531223892,0.03196538895115798,0.8469630886444954,0.8469635277652046,0.5443302564025188,0.594796828543112,0.6626362735381566,False,0.006960821585783496
FOSB+OSR2,FOSB,OSR2,FOSB+OSR2,324,35,0.09682737856483004,0.03160680763470638,0.9440616289088942,0.9453158419949972,0.32642428312302474,0.5864965312190288,0.6602576808721506,False,0.007213001067586844
BPGM+ZBTB1,BPGM,ZBTB1,BPGM+ZBTB1,283,28,0.07663926204669856,0.03150893059618187,0.963465115625276,0.9631779646346021,0.41113301139281,0.5897423191278494,0.6620416253716551,False,0.0075015020005772225
IGDCC3+ZBTB25,IGDCC3,ZBTB25,IGDCC3+ZBTB25,99,5,0.09498921079125075,0.031219617223216582,0.9450542128207781,0.9450806276984173,0.32866487639133174,0.5812685827552032,0.6374628344895936,False,0.010958178051229499
FOXA1+FOXF1,FOXA1,FOXF1,FOXA1+FOXF1,237,24,0.06547628548147666,0.03115978772413626,0.8866939389662324,0.8839351597893753,0.4758942492690947,0.5884786917740337,0.6525272547076313,False,0.006780669824405611
FOXA3+FOXF1,FOXA3,FOXF1,FOXA3+FOXF1,146,12,0.06876234875049389,0.030618511988419642,0.8973187383098905,0.8954846778094036,0.4452801939549763,0.581788899900892,0.6473736372646184,False,0.010513415215053648
FOXA1+FOXA3,FOXA1,FOXA3,FOXA3+FOXA1,181,17,0.08090452044389024,0.03052319667106076,0.926983045345815,0.9261180202424147,0.3772743043725169,0.587611496531219,0.6576808721506442,False,0.00803991199815636
ETS2+PRTG,ETS2,PRTG,ETS2+PRTG,354,32,0.05579384865594924,0.03051516826957411,0.8887968893490497,0.8888547234137804,0.5469271076412885,0.5861000991080277,0.6584737363726462,False,0.006060865638516881
RHOXF2BB+ZBTB25,RHOXF2BB,ZBTB25,RHOXF2BB+ZBTB25,205,18,0.09234577676501426,0.030208192443041765,0.9504918281750254,0.9504643694531295,0.3271204542456815,0.5896679881070367,0.6588701684836472,False,0.00892497411150612
