canonical_perturbation,target_a,target_b,observed_rms,residual_rms,residual_over_response_rms,projection_coefficient,squared_norm_fraction,cosine_to_neg_shared_shift,orthogonal_residual_rms,role
DUSP9+PRTG,DUSP9,PRTG,0.10060500570895083,0.03720737202063614,0.3698361901422347,-0.6686222697466101,0.23100533679775767,0.48063014553579314,0.032628015468778575,descriptive_alignment_not_confounding_proof
PTPN12+ZBTB10,PTPN12,ZBTB10,0.0778406592920456,0.03857653895753434,0.49558340471913764,-0.6927932959954636,0.2307167700518806,0.48032985546588763,0.03383501654681091,descriptive_alignment_not_confounding_proof
CBL+CNN1,CBL,CNN1,0.11155104973930352,0.04440410561006236,0.3980608493943842,0.7845616552462908,0.22331928814722896,-0.47256670232595627,0.03913311209251296,descriptive_alignment_not_confounding_proof
DUSP9+IGDCC3,DUSP9,IGDCC3,0.09562828846806662,0.03499685579333492,0.36596760596652844,-0.6134693260300831,0.21980925818875352,0.4688382004367323,0.03091216509348123,descriptive_alignment_not_confounding_proof
CEBPA+JUN,CEBPA,JUN,0.19801195241994854,0.06378491278052559,0.3221265787291921,-1.109837713392347,0.21657152590931286,0.4653724593369412,0.05645697986404798,descriptive_alignment_not_confounding_proof
PTPN12+SNAI1,PTPN12,SNAI1,0.049206543858173,0.029602997078708747,0.6016069156174196,-0.5049819109502691,0.20816063776614047,0.45624624685156634,0.02634233240351324,descriptive_alignment_not_confounding_proof
UBASH3B+ZBTB25,UBASH3B,ZBTB25,0.07638722628725236,0.02489414153231839,0.3258940367687204,0.4214866036568167,0.20506501510357947,-0.45284104838627365,0.02219539915485614,descriptive_alignment_not_confounding_proof
ETS2+IGDCC3,ETS2,IGDCC3,0.04882188885702463,0.032072274531495276,0.6569240822578422,-0.5406059515530008,0.20324527367935913,0.45082732135415116,0.028628070952450773,descriptive_alignment_not_confounding_proof
MAP2K3+MAP2K6,MAP2K3,MAP2K6,0.03025542368036462,0.025467986795873032,0.8417659942538313,0.4286441916948506,0.20263897775931833,-0.45015439324671525,0.02274165762964715,descriptive_alignment_not_confounding_proof
DLX2+SNAI1,DLX2,SNAI1,0.09707463826558659,0.046421025696162375,0.4781993167892014,0.7745969681040694,0.19917758057585264,-0.44629315542124626,0.041541564035627254,descriptive_alignment_not_confounding_proof
FEV+MAP7D1,FEV,MAP7D1,0.08680957817478696,0.03265904626547235,0.3762147789696076,0.541353209862051,0.19654987318307418,-0.44333945592860796,0.029274060079464183,descriptive_alignment_not_confounding_proof
FOSB+UBASH3B,FOSB,UBASH3B,0.03530322376388879,0.02626826839286108,0.7440756280090929,-0.43517220182123606,0.1963259612262138,0.443086855172001,0.02354894279564088,descriptive_alignment_not_confounding_proof
PTPN12+UBASH3B,PTPN12,UBASH3B,0.08309717002265282,0.02855071589704647,0.34358228913527816,0.4509054571143194,0.1784248373024954,-0.4224036426245581,0.025878592573675228,descriptive_alignment_not_confounding_proof
