split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,train_condition_balanced_perturbed_mean,CBL+UBASH3A,0.0035829234108841358,0.019953305049877364,0.7337211158534052,0.7316301255610703
train,train_condition_balanced_perturbed_mean,CBL+UBASH3B,0.00617735543170925,0.02095189223845624,0.7508375657224885,0.7465724094505198
train,train_condition_balanced_perturbed_mean,CDKN1A+CDKN1B,0.0031870413203195025,0.017648128912410153,0.7840365056443327,0.7815388787700989
train,train_condition_balanced_perturbed_mean,CDKN1A+CDKN1C,0.003201032510688835,0.017833418980523357,0.753600034798433,0.7533027901108976
train,train_condition_balanced_perturbed_mean,CDKN1B+CDKN1C,0.00235106102304742,0.015359736680194445,0.7611392769530464,0.759780865051584
train,train_condition_balanced_perturbed_mean,CEBPA+JUN,0.033048577567989644,0.05900345312171392,0.5255241464996443,0.5291051163800616
train,train_condition_balanced_perturbed_mean,CEBPA+KLF1,0.015917070986227234,0.03843977270228067,0.47646372649091484,0.4804920096923894
train,train_condition_balanced_perturbed_mean,CEBPB+FOSB,0.017693306850107594,0.04204328333032489,0.5122989657705962,0.5157808283665868
train,train_condition_balanced_perturbed_mean,CEBPB+JUN,0.009487068992418432,0.03223055741310804,0.6676298255704097,0.669838588253193
train,train_condition_balanced_perturbed_mean,CEBPB+MAPK1,0.007548461907315902,0.023117507508797656,0.3266865334040729,0.33198472763712433
train,train_condition_balanced_perturbed_mean,CEBPB+OSR2,0.00863845062649175,0.029115702559313738,0.49069731209234313,0.49482621271841826
train,train_condition_balanced_perturbed_mean,CEBPB+PTPN12,0.0018612052010963654,0.012485375724318772,0.7179225448206226,0.719569896710059
train,train_condition_balanced_perturbed_mean,CEBPE+CNN1,0.0022822934083230806,0.013715710078160631,0.5806755124455382,0.5821377848058122
train,train_condition_balanced_perturbed_mean,CEBPE+ETS2,0.007332932800519612,0.02295663079349382,0.27403850907596194,0.28003734185612217
train,train_condition_balanced_perturbed_mean,CEBPE+KLF1,0.003098268850276164,0.015523131807705143,0.20570437213303072,0.2112657201796538
train,train_condition_balanced_perturbed_mean,CEBPE+RUNX1T1,0.003429368816485427,0.014883443326135327,0.31120489573896815,0.3159814997327497
